Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,12.5785,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,,,,,,,,,,,,,,,
,,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,,,,,,,,,,,,,,,
,,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,,,,,,,,,,,,,,,
,,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,,,,,,,,,,,,,,,
,,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,1,7.7962,A_Card,0,100,2100,0,0,0,0,1,100,100,50,50
,,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,2,3.0482,B_Card,0,100,2200,0,1,1,1,1,100,100,50,50
,,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,4,1.3502,D_Card,1,50,2250,0,2,2,2,1,-150,100,-50,50
,,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,2,0.4235,B_Card,0,100,2350,0,3,3,3,1,100,100,50,50
,,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,3,4.0998,C_Card,1,-50,2300,0,4,4,4,1,-300,100,-50,50
,,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,2,0.3364,B_Card,0,100,2400,0,5,5,5,1,100,100,50,50
,,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,1,0.4902,A_Card,0,-200,2200,0,6,6,6,1,-200,100,-50,50
,,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,4,0.4777,D_Card,1,50,2250,0,7,7,7,1,100,100,50,50
,,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,2,0.3378,B_Card,0,-1250,1000,0,8,8,8,1,-250,-1250,-50,50
,,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,3,0.3796,C_Card,1,-50,950,0,9,9,9,1,-350,100,-50,-250
,,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,4,0.1335,D_Card,1,50,1000,0,10,10,10,1,100,100,50,50
,,1,1,1,2023-05-30_16h49.20.213,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,60.0024001,1,0.4779,A_Card,0,-350,650,0,11,11,11,1,-350,100,-25,50
