Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,15.812,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,,,,,,,,,,,,,,,
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,,,,,,,,,,,,,,,
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,,,,,,,,,,,,,,,
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,,,,,,,,,,,,,,,
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,2,1.996,B_Card,0,100,2100,0,0,0,0,1,100,100,50,50
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,2,3.052,B_Card,0,100,2200,0,1,1,1,1,100,100,50,50
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,2,2.121,B_Card,0,100,2300,0,2,2,2,1,-150,100,-50,50
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,2,2.353,B_Card,0,100,2400,0,3,3,3,1,100,100,50,50
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,2,1.952,B_Card,0,100,2500,0,4,4,4,1,-300,100,-50,50
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,2,1.268,B_Card,0,100,2600,0,5,5,5,1,100,100,50,50
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,2,1.136,B_Card,0,100,2700,0,6,6,6,1,-200,100,-50,50
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,3,1.819,C_Card,1,50,2750,0,7,7,7,1,100,100,50,50
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,1,1.237,A_Card,0,-250,2500,0,8,8,8,1,-250,-1250,-50,50
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,4,1.702,D_Card,1,-250,2250,0,9,9,9,1,-350,100,-50,-250
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,2,1.151,B_Card,0,100,2350,0,10,10,10,1,100,100,50,50
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,2,0.554,B_Card,0,100,2450,0,11,11,11,1,-350,100,-25,50
,,kk,63,m,02/22/2023_16h03.39.800,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.95203837,2,0.369,B_Card,0,100,2550,0,12,12,12,1,100,100,-75,50
