Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,0.9804,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,3.4153,C_Card,1,50,2050,0,0,0,0,1,100,100,50,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,6.5334,B_Card,0,100,2150,0,1,1,1,1,100,100,50,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,3.1172,B_Card,0,100,2250,0,2,2,2,1,-150,100,-50,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,1,1.1107,A_Card,0,100,2350,0,3,3,3,1,100,100,50,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,1.0346,C_Card,1,-50,2300,0,4,4,4,1,-300,100,-50,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,4,0.7681,D_Card,1,50,2350,0,5,5,5,1,100,100,50,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.3267,B_Card,0,100,2450,0,6,6,6,1,-200,100,-50,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.3201,B_Card,0,100,2550,0,7,7,7,1,100,100,50,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.3167,B_Card,0,-1250,1300,0,8,8,8,1,-250,-1250,-50,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,1,0.0885,A_Card,0,-350,950,0,9,9,9,1,-350,100,-50,-250
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,0.3311,C_Card,1,50,1000,0,10,10,10,1,100,100,50,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,4,0.2875,D_Card,1,50,1050,0,11,11,11,1,-350,100,-25,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.2862,B_Card,0,100,1150,0,12,12,12,1,100,100,-75,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,0.3424,C_Card,1,50,1200,0,13,13,13,1,-250,-1250,50,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.7828,B_Card,0,100,1300,0,14,14,14,1,-200,100,-25,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,1,0.3492,A_Card,0,100,1400,0,15,15,15,1,100,100,50,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,4,0.0944,D_Card,1,50,1450,0,16,16,16,1,-300,100,-25,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,0.3149,C_Card,1,-75,1375,0,17,17,17,1,-150,100,-75,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.4515,B_Card,0,100,1475,0,18,18,18,1,100,100,50,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,1,0.326,A_Card,0,100,1575,0,19,19,19,1,100,100,-50,-250
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.4686,B_Card,0,100,1675,0,20,20,20,1,100,100,50,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.6995,B_Card,0,100,1775,0,21,21,21,1,-300,100,50,50
,,L,22,FEMALE,2023-03-24_18h04.18.758,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,4,2.7291,D_Card,1,50,1825,0,22,22,22,1,100,100,50,50
