Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,16.8457,M,25,f,2023-02-17_18h37.28.939,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,165.0165017,,,,,,,,,,,,,,,
,,M,25,f,2023-02-17_18h37.28.939,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,165.0165017,,,,,,,,,,,,,,,
,,M,25,f,2023-02-17_18h37.28.939,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,165.0165017,,,,,,,,,,,,,,,
,,M,25,f,2023-02-17_18h37.28.939,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,165.0165017,,,,,,,,,,,,,,,
,,M,25,f,2023-02-17_18h37.28.939,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,165.0165017,1,9.6598,A_Card,0,100,2100,0,0,0,0,1,100,100,50,50
,,M,25,f,2023-02-17_18h37.28.939,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,165.0165017,3,1.4195,C_Card,1,50,2150,0,1,1,1,1,100,100,50,50
,,M,25,f,2023-02-17_18h37.28.939,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,165.0165017,2,1.3835,B_Card,0,100,2250,0,2,2,2,1,-150,100,-50,50
,,M,25,f,2023-02-17_18h37.28.939,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,165.0165017,1,0.491,A_Card,0,100,2350,0,3,3,3,1,100,100,50,50
,,M,25,f,2023-02-17_18h37.28.939,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,165.0165017,1,0.5664,A_Card,0,-300,2050,0,4,4,4,1,-300,100,-50,50
,,M,25,f,2023-02-17_18h37.28.939,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,165.0165017,3,0.1117,C_Card,1,50,2100,0,5,5,5,1,100,100,50,50
,,M,25,f,2023-02-17_18h37.28.939,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,165.0165017,4,0.6609,D_Card,1,50,2150,0,6,6,6,1,-200,100,-50,50
,,M,25,f,2023-02-17_18h37.28.939,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,165.0165017,3,2.3792,C_Card,1,50,2200,0,7,7,7,1,100,100,50,50
,,M,25,f,2023-02-17_18h37.28.939,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,165.0165017,1,2.4596,A_Card,0,-250,1950,0,8,8,8,1,-250,-1250,-50,50
,,M,25,f,2023-02-17_18h37.28.939,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,165.0165017,2,0.6567,B_Card,0,100,2050,0,9,9,9,1,-350,100,-50,-250
,,M,25,f,2023-02-17_18h37.28.939,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,165.0165017,3,6.7236,C_Card,1,50,2100,0,10,10,10,1,100,100,50,50
