Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,22.3511,Ro,28,male,2023-06-15_09h06.36.785,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.05645307,,,,,,,,,,,,,,,
,,Ro,28,male,2023-06-15_09h06.36.785,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.05645307,,,,,,,,,,,,,,,
,,Ro,28,male,2023-06-15_09h06.36.785,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.05645307,,,,,,,,,,,,,,,
,,Ro,28,male,2023-06-15_09h06.36.785,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.05645307,,,,,,,,,,,,,,,
,,Ro,28,male,2023-06-15_09h06.36.785,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.05645307,2,4.6588,B_Card,0,100,2100,0,0,0,0,1,100,100,50,50
,,Ro,28,male,2023-06-15_09h06.36.785,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.05645307,3,2.8623,C_Card,1,50,2150,0,1,1,1,1,100,100,50,50
,,Ro,28,male,2023-06-15_09h06.36.785,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.05645307,1,1.5152,A_Card,0,-150,2000,0,2,2,2,1,-150,100,-50,50
,,Ro,28,male,2023-06-15_09h06.36.785,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.05645307,4,1.1986,D_Card,1,50,2050,0,3,3,3,1,100,100,50,50
,,Ro,28,male,2023-06-15_09h06.36.785,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.05645307,3,2.056,C_Card,1,-50,2000,0,4,4,4,1,-300,100,-50,50
,,Ro,28,male,2023-06-15_09h06.36.785,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.05645307,4,1.0667,D_Card,1,50,2050,0,5,5,5,1,100,100,50,50
