Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,22.97,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,,,,,,,,,,,,,,,
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,,,,,,,,,,,,,,,
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,,,,,,,,,,,,,,,
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,,,,,,,,,,,,,,,
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,4,1.2579,D_Card,1,50,2050,0,0,0,0,1,100,100,50,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,3,0.6002,C_Card,1,50,2100,0,1,1,1,1,100,100,50,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,4,0.5527,D_Card,1,50,2150,0,2,2,2,1,-150,100,-50,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,3,0.4416,C_Card,1,50,2200,0,3,3,3,1,100,100,50,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,3,0.2838,C_Card,1,-50,2150,0,4,4,4,1,-300,100,-50,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,3,0.4267,C_Card,1,50,2200,0,5,5,5,1,100,100,50,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,4,0.4034,D_Card,1,50,2250,0,6,6,6,1,-200,100,-50,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,3,0.3838,C_Card,1,50,2300,0,7,7,7,1,100,100,50,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,4,0.4171,D_Card,1,50,2350,0,8,8,8,1,-250,-1250,-50,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,3,0.32,C_Card,1,-50,2300,0,9,9,9,1,-350,100,-50,-250
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,3,0.288,C_Card,1,50,2350,0,10,10,10,1,100,100,50,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,4,0.0921,D_Card,1,50,2400,0,11,11,11,1,-350,100,-25,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,4,0.1007,D_Card,1,50,2450,0,12,12,12,1,100,100,-75,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,3,0.3506,C_Card,1,50,2500,0,13,13,13,1,-250,-1250,50,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,3,0.3347,C_Card,1,-25,2475,0,14,14,14,1,-200,100,-25,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,3,0.31,C_Card,1,50,2525,0,15,15,15,1,100,100,50,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,4,0.3052,D_Card,1,50,2575,0,16,16,16,1,-300,100,-25,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,4,1.2701,D_Card,1,50,2625,0,17,17,17,1,-150,100,-75,50
,,Viuo,23,Man,2023-08-12_12h44.22.919,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.97361161,3,0.5206,C_Card,1,50,2675,0,18,18,18,1,100,100,50,50
