Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,16.4702,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,,,,,,,,,,,,,,,
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,,,,,,,,,,,,,,,
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,,,,,,,,,,,,,,,
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,,,,,,,,,,,,,,,
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,15.6213,C_Card,1,50,2050,0,0,0,0,1,100,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,2,0.9616,B_Card,0,100,2150,0,1,1,1,1,100,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,2,0.4914,B_Card,0,100,2250,0,2,2,2,1,-150,100,-50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,2,0.7881,B_Card,0,100,2350,0,3,3,3,1,100,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.5036,C_Card,1,-50,2300,0,4,4,4,1,-300,100,-50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,4,0.4361,D_Card,1,50,2350,0,5,5,5,1,100,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,2,0.4361,B_Card,0,100,2450,0,6,6,6,1,-200,100,-50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,2,0.4877,B_Card,0,100,2550,0,7,7,7,1,100,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.5657,C_Card,1,-50,2500,0,8,8,8,1,-250,-1250,-50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,2,0.4687,B_Card,0,100,2600,0,9,9,9,1,-350,100,-50,-250
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,2,0.4391,B_Card,0,100,2700,0,10,10,10,1,100,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,2,0.4402,B_Card,0,100,2800,0,11,11,11,1,-350,100,-25,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,2,0.4494,B_Card,0,100,2900,0,12,12,12,1,100,100,-75,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,2,0.4416,B_Card,0,-1250,1650,0,13,13,13,1,-250,-1250,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.57,C_Card,1,-25,1625,0,14,14,14,1,-200,100,-25,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,2,0.399,B_Card,0,100,1725,0,15,15,15,1,100,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,2,0.5016,B_Card,0,100,1825,0,16,16,16,1,-300,100,-25,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.3387,C_Card,1,-75,1750,0,17,17,17,1,-150,100,-75,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.4813,C_Card,1,50,1800,0,18,18,18,1,100,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.4106,C_Card,1,-50,1750,0,19,19,19,1,100,100,-50,-250
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.4021,C_Card,1,50,1800,0,20,20,20,1,100,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.6612,C_Card,1,50,1850,0,21,21,21,1,-300,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.6795,C_Card,1,50,1900,0,22,22,22,1,100,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.4721,C_Card,1,-50,1850,0,23,23,23,1,-350,100,-50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.4712,C_Card,1,-25,1825,0,24,24,24,1,100,100,-25,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.4886,C_Card,1,-50,1775,0,25,25,25,1,-200,100,-50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.6449,C_Card,1,50,1825,0,26,26,26,1,-250,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.4422,C_Card,1,50,1875,0,27,27,27,1,-150,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.4386,C_Card,1,-75,1800,0,28,28,28,1,100,100,-75,-250
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,4,0.0257,D_Card,1,50,1850,0,29,29,29,1,100,100,-50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,4,0.4374,D_Card,1,50,1900,0,30,30,30,1,-350,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,4,0.4326,D_Card,1,50,1950,0,31,31,31,1,-200,-1250,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,4,0.4303,D_Card,1,50,2000,0,32,32,32,1,-250,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,4,0.2612,D_Card,1,50,2050,0,33,33,33,1,100,100,-25,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,4,0.554,D_Card,1,-250,1800,0,34,34,34,1,100,100,-25,-250
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,4,0.3853,D_Card,1,50,1850,0,35,35,35,1,100,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,4,0.086,D_Card,1,50,1900,0,36,36,36,1,-150,100,-75,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,4,0.5617,D_Card,1,50,1950,0,37,37,37,1,-300,100,50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,1.5431,C_Card,1,-50,1900,0,38,38,38,1,100,100,-50,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,3,0.3856,C_Card,1,-75,1825,0,39,39,39,1,100,100,-75,50
,,asdfa,322,F,2023-02-28_15h59.27.774,IOWA_Gambling_4Choice_H,2022.2.4,Linux x86_64,20.00080003,,,,,,,,,,,,,,,
