Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,15.151,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,,,,,,,,,,,,,,,
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,,,,,,,,,,,,,,,
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,,,,,,,,,,,,,,,
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,,,,,,,,,,,,,,,
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,1,3.2101,A_Card,0,100,2100,0,0,0,0,1,100,100,50,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,2,1.7395,B_Card,0,100,2200,0,1,1,1,1,100,100,50,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,3,0.5112,C_Card,1,-50,2150,0,2,2,2,1,-150,100,-50,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,2,0.2996,B_Card,0,100,2250,0,3,3,3,1,100,100,50,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,1,0.3832,A_Card,0,-300,1950,0,4,4,4,1,-300,100,-50,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,2,0.1646,B_Card,0,100,2050,0,5,5,5,1,100,100,50,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,4,0.255,D_Card,1,50,2100,0,6,6,6,1,-200,100,-50,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,3,0.2231,C_Card,1,50,2150,0,7,7,7,1,100,100,50,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,2,0.5478,B_Card,0,-1250,900,0,8,8,8,1,-250,-1250,-50,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,4,0.4365,D_Card,1,-250,650,0,9,9,9,1,-350,100,-50,-250
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,1,0.2818,A_Card,0,100,750,0,10,10,10,1,100,100,50,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,3,0.2676,C_Card,1,-25,725,0,11,11,11,1,-350,100,-25,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,2,0.3028,B_Card,0,100,825,0,12,12,12,1,100,100,-75,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,4,0.2846,D_Card,1,50,875,0,13,13,13,1,-250,-1250,50,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,1,0.3068,A_Card,0,-200,675,0,14,14,14,1,-200,100,-25,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,2,0.2994,B_Card,0,100,775,0,15,15,15,1,100,100,50,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,3,0.3077,C_Card,1,-25,750,0,16,16,16,1,-300,100,-25,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,4,0.4229,D_Card,1,50,800,0,17,17,17,1,-150,100,-75,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,4,0.2985,D_Card,1,50,850,0,18,18,18,1,100,100,50,50
,,ede,53,female,2023-04-14_24h13.19.837,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.66587112,1,0.2819,A_Card,0,100,950,0,19,19,19,1,100,100,-50,-250
