Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,9.5845,ff,33,F,2023-04-26_15h05.20.135,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.09976561,,,,,,,,,,,,,,,
,,ff,33,F,2023-04-26_15h05.20.135,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.09976561,,,,,,,,,,,,,,,
,,ff,33,F,2023-04-26_15h05.20.135,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.09976561,,,,,,,,,,,,,,,
,,ff,33,F,2023-04-26_15h05.20.135,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.09976561,,,,,,,,,,,,,,,
,,ff,33,F,2023-04-26_15h05.20.135,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.09976561,3,6.1839,C_Card,1,50,2050,0,0,0,0,1,100,100,50,50
,,ff,33,F,2023-04-26_15h05.20.135,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.09976561,1,2.7883,A_Card,0,100,2150,0,1,1,1,1,100,100,50,50
,,ff,33,F,2023-04-26_15h05.20.135,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.09976561,2,1.9722,B_Card,0,100,2250,0,2,2,2,1,-150,100,-50,50
,,ff,33,F,2023-04-26_15h05.20.135,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.09976561,4,1.8426,D_Card,1,50,2300,0,3,3,3,1,100,100,50,50
,,ff,33,F,2023-04-26_15h05.20.135,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.09976561,1,1.0387,A_Card,0,-300,2000,0,4,4,4,1,-300,100,-50,50
,,ff,33,F,2023-04-26_15h05.20.135,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.09976561,3,1.151,C_Card,1,50,2050,0,5,5,5,1,100,100,50,50
