Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,4.7128,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,,,,,,,,,,,,,,,
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,,,,,,,,,,,,,,,
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,,,,,,,,,,,,,,,
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,,,,,,,,,,,,,,,
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,1,8.7539,A_Card,0,100,2100,0,0,0,0,1,100,100,50,50
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,3,5.6394,C_Card,1,50,2150,0,1,1,1,1,100,100,50,50
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,3,1.0002,C_Card,1,-50,2100,0,2,2,2,1,-150,100,-50,50
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,3,0.4988,C_Card,1,50,2150,0,3,3,3,1,100,100,50,50
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,3,0.6318,C_Card,1,-50,2100,0,4,4,4,1,-300,100,-50,50
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,3,0.295,C_Card,1,50,2150,0,5,5,5,1,100,100,50,50
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,3,0.3095,C_Card,1,-50,2100,0,6,6,6,1,-200,100,-50,50
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,3,0.419,C_Card,1,50,2150,0,7,7,7,1,100,100,50,50
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,1,13.4194,A_Card,0,-250,1900,0,8,8,8,1,-250,-1250,-50,50
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,2,2.6087,B_Card,0,100,2000,0,9,9,9,1,-350,100,-50,-250
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,3,0.9194,C_Card,1,50,2050,0,10,10,10,1,100,100,50,50
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,3,0.5915,C_Card,1,-25,2025,0,11,11,11,1,-350,100,-25,50
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,3,0.6029,C_Card,1,-75,1950,0,12,12,12,1,100,100,-75,50
,,gary,31,M,2023-05-22_08h43.45.916,IOWA_Gambling_4Choice_H,2022.2.4,Win32,59.81934558,4,0.543,D_Card,1,50,2000,0,13,13,13,1,-250,-1250,50,50
