Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,4.0796,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,,,,,,,,,,,,,,,
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,,,,,,,,,,,,,,,
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,,,,,,,,,,,,,,,
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,,,,,,,,,,,,,,,
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,3,4.753,C_Card,1,50,2050,0,0,0,0,1,100,100,50,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,2,3.8944,B_Card,0,100,2150,0,1,1,1,1,100,100,50,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,3,0.501,C_Card,1,-50,2100,0,2,2,2,1,-150,100,-50,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,2,0.2511,B_Card,0,100,2200,0,3,3,3,1,100,100,50,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,2,0.2449,B_Card,0,100,2300,0,4,4,4,1,-300,100,-50,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,2,0.2599,B_Card,0,100,2400,0,5,5,5,1,100,100,50,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,2,0.3847,B_Card,0,100,2500,0,6,6,6,1,-200,100,-50,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,2,0.2416,B_Card,0,100,2600,0,7,7,7,1,100,100,50,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,2,0.3737,B_Card,0,-1250,1350,0,8,8,8,1,-250,-1250,-50,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,1,0.2686,A_Card,0,-350,1000,0,9,9,9,1,-350,100,-50,-250
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,4,0.3005,D_Card,1,50,1050,0,10,10,10,1,100,100,50,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,4,0.2743,D_Card,1,50,1100,0,11,11,11,1,-350,100,-25,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,4,0.1997,D_Card,1,50,1150,0,12,12,12,1,100,100,-75,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,4,0.0174,D_Card,1,50,1200,0,13,13,13,1,-250,-1250,50,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,4,0.1318,D_Card,1,50,1250,0,14,14,14,1,-200,100,-25,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,4,0.5873,D_Card,1,50,1300,0,15,15,15,1,100,100,50,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,4,0.0525,D_Card,1,50,1350,0,16,16,16,1,-300,100,-25,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,4,0.0689,D_Card,1,50,1400,0,17,17,17,1,-150,100,-75,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,4,0.2388,D_Card,1,50,1450,0,18,18,18,1,100,100,50,50
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,4,0.1864,D_Card,1,-250,1200,0,19,19,19,1,100,100,-50,-250
,,lola,18,female,2023-05-25_21h47.13.767,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.04202942,1,0.1392,A_Card,0,100,1300,0,20,20,20,1,100,100,50,50
