Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,10.528,n1,80,m,2023-01-05_17h30.07.979,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,62.5,,,,,,,,,,,,,,,
,,n1,80,m,2023-01-05_17h30.07.979,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,62.5,,,,,,,,,,,,,,,
,,n1,80,m,2023-01-05_17h30.07.979,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,62.5,,,,,,,,,,,,,,,
,,n1,80,m,2023-01-05_17h30.07.979,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,62.5,,,,,,,,,,,,,,,
,,n1,80,m,2023-01-05_17h30.07.979,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,62.5,1,1.539,A_Card,0,100,2100,0,0,0,0,1,100,100,50,50
,,n1,80,m,2023-01-05_17h30.07.979,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,62.5,2,1.265,B_Card,0,100,2200,0,1,1,1,1,100,100,50,50
,,n1,80,m,2023-01-05_17h30.07.979,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,62.5,2,1.215,B_Card,0,100,2300,0,2,2,2,1,-150,100,-50,50
,,n1,80,m,2023-01-05_17h30.07.979,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,62.5,3,1.357,C_Card,1,50,2350,0,3,3,3,1,100,100,50,50
,,n1,80,m,2023-01-05_17h30.07.979,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,62.5,4,1.649,D_Card,1,50,2400,0,4,4,4,1,-300,100,-50,50
,,n1,80,m,2023-01-05_17h30.07.979,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,62.5,4,1.024,D_Card,1,50,2450,0,5,5,5,1,100,100,50,50
