Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,23.6058,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,4.3603,B_Card,0,100,2100,0,0,0,0,1,100,100,50,50
,,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,5.1851,C_Card,1,50,2150,0,1,1,1,1,100,100,50,50
,,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,1,2.8408,A_Card,0,-150,2000,0,2,2,2,1,-150,100,-50,50
,,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,4,3.1155,D_Card,1,50,2050,0,3,3,3,1,100,100,50,50
,,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,2.3194,C_Card,1,-50,2000,0,4,4,4,1,-300,100,-50,50
,,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.5727,B_Card,0,100,2100,0,5,5,5,1,100,100,50,50
,,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,1,0.5876,A_Card,0,-200,1900,0,6,6,6,1,-200,100,-50,50
,,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,1.303,C_Card,1,50,1950,0,7,7,7,1,100,100,50,50
,,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,18.4386,B_Card,0,-1250,700,0,8,8,8,1,-250,-1250,-50,50
,,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,1.2667,C_Card,1,-50,650,0,9,9,9,1,-350,100,-50,-250
,,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.7659,B_Card,0,100,750,0,10,10,10,1,100,100,50,50
,,qef,wef,feadf,2023-05-05_18h33.44.556,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,5.6877,B_Card,0,100,850,0,11,11,11,1,-350,100,-25,50
