Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,4.481,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,,,,,,,,,,,,,,,
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,,,,,,,,,,,,,,,
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,,,,,,,,,,,,,,,
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,,,,,,,,,,,,,,,
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,1,6.323,A_Card,0,100,2100,0,0,0,0,1,100,100,50,50
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,2,1.548,B_Card,0,100,2200,0,1,1,1,1,100,100,50,50
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,3,0.499,C_Card,1,-50,2150,0,2,2,2,1,-150,100,-50,50
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,4,0.506,D_Card,1,50,2200,0,3,3,3,1,100,100,50,50
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,2,0.438,B_Card,0,100,2300,0,4,4,4,1,-300,100,-50,50
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,2,0.503,B_Card,0,100,2400,0,5,5,5,1,100,100,50,50
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,3,0.438,C_Card,1,-50,2350,0,6,6,6,1,-200,100,-50,50
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,1,0.903,A_Card,0,100,2450,0,7,7,7,1,100,100,50,50
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,1,0.965,A_Card,0,-250,2200,0,8,8,8,1,-250,-1250,-50,50
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,4,0.433,D_Card,1,-250,1950,0,9,9,9,1,-350,100,-50,-250
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,3,0.349,C_Card,1,50,2000,0,10,10,10,1,100,100,50,50
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,2,0.371,B_Card,0,100,2100,0,11,11,11,1,-350,100,-25,50
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,1,0.601,A_Card,0,100,2200,0,12,12,12,1,100,100,-75,50
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,3,5.592,C_Card,1,50,2250,0,13,13,13,1,-250,-1250,50,50
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,4,0.434,D_Card,1,50,2300,0,14,14,14,1,-200,100,-25,50
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,2,0.383,B_Card,0,100,2400,0,15,15,15,1,100,100,50,50
,,s,21,female,2023-05-05_22h59.28.247,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,58.82352941,1,0.398,A_Card,0,-300,2100,0,16,16,16,1,-300,100,-25,50
