Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,100.0963,sw,33,Male,2023-06-08_09h31.08.455,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.08532116,,,,,,,,,,,,,,,
,,sw,33,Male,2023-06-08_09h31.08.455,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.08532116,,,,,,,,,,,,,,,
,,sw,33,Male,2023-06-08_09h31.08.455,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.08532116,,,,,,,,,,,,,,,
,,sw,33,Male,2023-06-08_09h31.08.455,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.08532116,,,,,,,,,,,,,,,
,,sw,33,Male,2023-06-08_09h31.08.455,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.08532116,1,8.0804,A_Card,0,100,2100,0,0,0,0,1,100,100,50,50
,,sw,33,Male,2023-06-08_09h31.08.455,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.08532116,1,6.381,A_Card,0,100,2200,0,1,1,1,1,100,100,50,50
,,sw,33,Male,2023-06-08_09h31.08.455,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.08532116,1,2.1136,A_Card,0,-150,2050,0,2,2,2,1,-150,100,-50,50
,,sw,33,Male,2023-06-08_09h31.08.455,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.08532116,2,1.6343,B_Card,0,100,2150,0,3,3,3,1,100,100,50,50
,,sw,33,Male,2023-06-08_09h31.08.455,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.08532116,2,1.2801,B_Card,0,100,2250,0,4,4,4,1,-300,100,-50,50
,,sw,33,Male,2023-06-08_09h31.08.455,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.08532116,3,2.1503,C_Card,1,50,2300,0,5,5,5,1,100,100,50,50
,,sw,33,Male,2023-06-08_09h31.08.455,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.08532116,4,1.185,D_Card,1,50,2350,0,6,6,6,1,-200,100,-50,50
